bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,019517013X,9780195170139,en-US,528,234,11,10/7/2004,Oxford University Press  USA
33809,Word of Honor,Nelson DeMille,4.17,0446674826,9780446674829,eng,880,8296,275,9/1/1998,Grand Central Publishing
32121,Last Rights (Francis Hancock #1),Barbara Nadel,3.53,0755321367,9780755321360,eng,352,132,15,1/2/2006,Headline
10654,Coach: Lessons on the Game of Life,Michael   Lewis,3.82,0393060918,9780393060911,en-US,96,1502,167,4/17/2005,W. W. Norton  Company
33282,Jessica's Bad Idea (Sweet Valley Twins and Friends  #31),Francine Pascal/Jamie Suzanne,3.46,0553157272,9780553157277,eng,104,318,6,8/1/1989,Bantam
7781,The 500 Hats of Bartholomew Cubbins,Dr. Seuss,4.04,039484484X,9780394844848,eng,56,13097,324,12/9/1989,Random House Books for Young Readers
6980,The Dance of the Dissident Daughter: A Woman's Journey from Christian Tradition to the Sacred Feminine,Sue Monk Kidd,3.95,0061144908,9780061144905,en-US,253,572,70,12/26/1996,HarperOne
12113,Six Characters in Search of an Author and Other Plays,Luigi Pirandello/Mark Musa,3.95,014018922X,9780140189223,eng,224,2935,63,6/29/1995,Penguin Classics
42688,Hemingway vs. Fitzgerald,Scott Donaldson,3.85,1585671266,9781585671267,eng,352,185,19,12/1/2001,Harry N. Abrams
9632,Switch on the Night,Ray Bradbury/Leo Dillon/Diane Dillon,4.13,0553112449,9780553112443,en-US,40,198,12,9/14/2004,Dragonfly Books
5084,My Life in France,Julia Child/Alex Prud'Homme,4.17,1400043468,9781400043460,eng,336,69153,6152,4/4/2006,Knopf Publishing Group
37780,Anatomy of a Boyfriend (Anatomy  #1),Daria Snadowsky,3.41,0385733208,9780385733205,eng,259,4470,485,1/9/2007,Delacorte Press
12301,The Scarlet Letter,Nathaniel Hawthorne,3.4,074326469X,9780743264693,eng,538,534,11,8/2/2005,Kaplan
12099,Three Plays: Exit the King / The Killer / Macbett,Eugène Ionesco/Charles Marowitz/Donald   Watson,4.11,0802151108,9780802151100,eng,105,175,9,1/13/1994,Grove Press
44321,A Cargo of Women: Susannah Watson and the Convicts of the Princess Royal,Babette Smith,3.58,1877058335,9781877058332,eng,264,0,0,6/1/2005,Rosenberg Publishing
38673,Peter Pan in Kensington Gardens / Peter and Wendy,J.M. Barrie/Peter Hollindale,4.06,0192839292,9780192839299,eng,288,4206,102,10/28/1999,Oxford University Press
32350,Mutants & Masterminds: RPG,Steve Kenson/Ramón Pérez,3.81,1932442529,9781932442526,eng,253,305,8,11/1/2005,Green Ronin Publishing
27333,Silent Spring,Rachel Carson/Linda Lear/Edward O. Wilson,3.97,0618249060,9780618249060,eng,378,30281,1694,10/22/2002,Mariner Books
21328,Fables  Vol. 6: Homelands,Bill Willingham/David Hahn/Mark Buckingham/Lan Medina/Steve Leialoha,4.28,1401205003,9781401205003,eng,190,21472,637,1/27/2006,Vertigo
23011,In the Beginning: The Story of the King James Bible and How it Changed a Nation  a Language  and a Culture,Alister E. McGrath,3.97,0385722168,9780385722162,eng,354,515,76,2/19/2002,Anchor
935,Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93,074343059X,9780743430593,eng,334,1556,158,5/6/2003,Pocket Books
42415,The Little Fire Engine,Lois Lenski,3.56,0375810706,9780375810701,eng,56,209,27,10/24/2000,Random House Books for Young Readers
21498,The Black Marble,Joseph Wambaugh,3.83,0440613965,9780440613961,en-US,416,936,45,9/2/1998,Dell
12789,Falling Angels (Luc Actar #1),Melissa M. Garcia,4.67,0595377106,9780595377107,eng,216,1,0,2/14/2006,iUniverse
15529,II Maccabees,Anonymous/Jonathan  A. Goldstein,4.04,0385048645,9780385048644,eng,595,24,2,10/11/1983,Anchor Bible
12412,The Complete Fiction of Nella Larsen: Passing  Quicksand  and the Stories,Nella Larsen/Charles Larson/Marita Golden,4.14,0385721005,9780385721004,eng,278,824,59,11/6/2001,Anchor Books
537,The Lovely Bones,Alice Sebold,3.81,0330485385,9780330485388,en-GB,328,6485,966,6/1/2003,Picador
6553,The Manhattan Hunt Club,John Saul,3.98,0345490649,9780345490643,eng,384,4889,221,3/28/2006,Ballantine Books
35440,Star Wars: Clone Wars  Volume 6: On the Fields of Battle,John Ostrander/Jan Duursema,4.04,1593073526,9781593073527,eng,168,487,18,8/2/2005,Dark Horse Books
13881,Rage of a Demon King (The Serpentwar Saga  #3),Raymond E. Feist,4.05,0380974738,9780380974733,en-US,436,21965,92,4/1/1997,Avon Books
40005,Hannibal's Children,John Maddox Roberts,3.68,0441010385,9780441010387,eng,359,204,18,3/25/2003,Berkley Publishing Group
3841,Lectures on Don Quixote,Vladimir Nabokov/Fredson Bowers/Guy Davenport/Miguel de Cervantes Saavedra/Samuel Putnam,3.87,0156495406,9780156495400,eng,240,275,14,4/18/1984,Harcourt Brace Jovanovich
37539,Egyptian Myth: A Very Short Introduction,Geraldine Pinch,3.61,0192803468,9780192803467,eng,143,189,18,7/8/2004,Oxford University Press  USA
24761,An Acceptable Time (Time Quintet  #5),Madeleine L'Engle,3.82,0440208149,9780440208143,eng,343,16434,639,12/1/1990,Laurel Leaf Books
9330,The House of the Spirits,Isabel Allende/Madga Bogin/Christopher Hitchens,4.23,1400043182,9781400043187,eng,488,270,49,4/19/2005,Everyman's Library
43394,Orwell in Spain: The Full Text of Homage to Catalonia  with Associated Articles  Reviews and Letters from the Complete Works of George Orwell,George Orwell/Christopher Hitchens,4.14,0141185163,9780141185163,eng,416,211,16,5/3/2001,Penguin Classics
17236,Dracula,Bram Stoker/Jan Needle/Gary Blythe,3.99,0744586534,9780744586534,eng,336,73,8,10/4/2004,Walker Books Ltd
1022,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,3.95,1563410907,9781563410901,en-US,288,253,17,6/1/2005,Firebrand Books
12074,Wittgenstein's Poker: The Story of a Ten-Minute Argument Between Two Great Philosophers,David Edmonds/John Eidinow,3.76,0060936649,9780060936648,eng,368,2284,169,9/17/2002,Ecco
30260,A Fistful of Charms (The Hollows  #4),Kim Harrison,4.29,0060788194,9780060788193,eng,510,47773,1109,6/27/2006,HarperTorch
7672,Congo,Michael Crichton,3.59,0060541830,9780060541835,eng,442,144636,1546,10/28/2003,Avon Books
28202,The Metaphysical Club,Louis Menand,4.07,0007126905,9780007126903,eng,560,3445,349,2/1/2010,HarperCollins Publishers
39785,How Do You Lose Those Ninth-grade Blues?,Barthe DeClements,3.74,0140363335,9780140363333,eng,144,10,1,4/1/1993,Puffin
13931,Foxmask (Saga of the Light Isles  #2),Juliet Marillier,4.1,0765345919,9780765345912,eng,560,4123,145,11/1/2005,Tor Fantasy
16575,Color Drawing: Design Drawing Skills and Techniques for Architects  Landscape Architects  and Interior Designers,Michael E. Doyle,4.26,0471292451,9780471292456,eng,360,161,3,6/30/1999,Wiley
17174,A Yellow Raft in Blue Water,Michael Dorris,3.86,0312421850,9780312421854,en-US,372,16190,897,3/5/2003,Picador USA
40016,Young Goodman Brown and Other Short Stories,Nathaniel Hawthorne,3.86,0486270602,9780486270609,eng,111,9101,126,2/5/1992,Dover Publications
25246,Hegel: A Very Short Introduction,Peter Singer,3.86,019280197X,9780192801975,eng,131,1141,122,12/6/2001,Oxford University Press
30675,The Thirteenth Tribe,Arthur Koestler,3.93,0330250698,9780330250696,eng,224,9,3,9/9/1977,Picador
333,The Zebra Wall,Kevin Henkes,3.44,0060733039,9780060733032,eng,147,217,24,2/15/2005,Greenwillow Books
28061,Situationist International Anthology: Revised and Expanded Edition,Ken Knabb,4.26,0939682044,9780939682041,eng,532,678,11,3/1/2007,Bureau of Public Secrets
7011,A Midsummer Night's Dream,William Shakespeare/Roma Gill/B. Litt,3.94,0198321503,9780198321507,eng,102,126,7,7/28/2005,Oxford University Press  USA
20237,Legacy of the Dead (Inspector Ian Rutledge  #4),Charles Todd,4.15,0553583158,9780553583151,eng,356,4081,316,6/1/2001,Bantam Books
2877,Tom Hunter: Living in Hell and Other Stories,Tom Hunter/Tracy Chevalier/Colin Wiggins,3.64,1857093313,9781857093315,en-GB,80,42,0,3/8/2006,National Gallery London
8951,The Lake of Souls (Cirque du Freak #10),Darren Shan,4.18,0316016659,9780316016650,eng,272,18536,350,9/6/2006,Little  Brown Books for Young Readers
32591,The Last Joy,Knut Hamsun/Sverre Lyngstad,3.77,1931243190,9781931243193,eng,250,129,8,7/1/2002,Green Integer
33883,Broken Vessels,Andre Dubus,4.33,0879239484,9780879239480,eng,195,351,45,11/1/1992,David R. Godine Publisher
37731,Just as Long as We're Together,Judy Blume,4.07,0330398040,9780330398046,eng,202,9375,422,4/9/2001,Macmillan Children's Books
7815,The Year of Magical Thinking,Joan Didion,3.89,1400078431,9781400078431,eng,227,120758,8711,2/13/2007,Vintage
45259,Anthony Thwaite: In Conversation With Peter Dale and Ian Hamilton,Peter  Dale/Ian          Hamilton/Anthony Thwaite,0.0,0953284123,9780953284122,eng,96,0,0,12/9/1999,Between the Lines Productions
43636,Atlantic Shift,Emily Barr,3.31,0755301943,9780755301942,eng,406,138,12,3/14/2005,Headline Review
18315,The Picture of Dorian Gray,Oscar Wilde,4.08,1420925288,9781420925289,en-US,124,838,52,1/1/2005,Digireads.com
11044,The Diary of Anaïs Nin  Vol. 3: 1939-1944,Anaïs Nin/Gunther Stuhlmann,4.18,0156260271,9780156260275,eng,348,1392,40,3/24/1971,Mariner Books
1771,Object-Oriented Programming in C++,Richard Johnsonbaugh/Martin Kalin,4.07,0130158852,9780130158857,eng,640,14,0,8/13/1999,Prentice Hall
3582,The New Annotated Sherlock Holmes: The Complete Short Stories,Arthur Conan Doyle/Leslie S. Klinger,4.64,0393059162,9780393059168,eng,1878,1411,54,11/30/2004,W. W. Norton & Company
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,en-US,320,308,40,9/27/2005,Scribner
26093,Identity,Milan Kundera/Linda Asher,3.68,0060175648,9780060175641,eng,176,266,31,4/21/1998,Harper
6956,The Radicalism of the American Revolution,Gordon S. Wood,4.06,0679736883,9780679736882,eng,447,4246,195,3/2/1993,Vintage
1377,The Iliad,Homer/W.H.D. Rouse,3.86,0451527372,9780451527370,en-US,312,158,15,8/1/1999,Signet Classics
30362,Charade,Sandra Brown,3.94,0446601853,9780446601856,en-US,496,6044,250,7/1/1995,Hachette Books
9299,Anybody Out There? (Walsh Family  #4),Marian Keyes,3.92,0060731303,9780060731304,eng,456,348,45,5/9/2006,William Morrow
17323,A Visitation of Spirits,Randall Kenan,3.76,0375703977,9780375703973,eng,272,449,38,1/25/2000,Vintage
21200,More Classic Italian Cooking,Marcella Hazan,4.48,0345314034,9780345314031,eng,465,64,3,7/12/1984,Ballantine Books
2034,Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,5.0,0198145047,9780198145042,grc,364,0,0,2/22/1922,Oxford University Press  USA
22835,Ranma 1/2  Vol. 12 (Ranma ½ (US 2nd)  #12),Rumiko Takahashi,4.11,1591162866,9781591162865,eng,200,1102,19,8/17/2004,VIZ Media LLC
34524,Where's My Cow? (Discworld  #34.5),Terry Pratchett/Melvyn Grant,4.11,038560937X,9780385609371,eng,32,9116,294,10/1/2005,Doubleday
32434,Mr. Murder,Dean Koontz,3.76,0425210758,9780425210758,eng,493,22577,448,7/5/2006,Berkley
20694,Julius  the Baby of the World,Kevin Henkes,4.28,0688143881,9780688143886,eng,32,6697,348,9/21/1995,Greenwillow Books
5158,A Virtuous Woman,Kaye Gibbons,3.69,0375703063,9780375703065,eng,165,23170,587,11/5/1997,Vintage
35455,Star Wars: Rebellion  Vol. 1: My Brother  My Enemy,Rob Williams/Michel Lacombe,3.94,1593077114,9781593077112,eng,128,518,23,2/27/2007,Dark Horse
38583,Bite Me!: An Unofficial Guide to the World of Buffy the Vampire Slayer,Nikki Stafford,4.13,1550225405,9781550225402,en-US,450,338,8,9/1/2002,ECW Press
4329,H. P. Lovecraft's Dreamlands (Call of Cthulhu RPG),Chris  Williams/Sandy Petersen,3.97,1568821573,9781568821573,eng,260,98,2,2/2/2008,Chaosium
25016,Outposts: Journeys to the Surviving Relics of the British Empire,Simon Winchester,3.79,0060598611,9780060598617,eng,400,1209,106,6/15/2004,Harper Perennial
6539,The Body Farm (Kay Scarpetta  #5),Patricia Cornwell,4.05,0425201449,9780425201442,eng,351,57415,920,12/28/2004,Berkley
38860,Convergence Culture: Where Old and New Media Collide,Henry Jenkins,3.85,0814742815,9780814742815,en-GB,308,3147,118,8/1/2006,New York University Press
22390,Doom Patrol  Vol. 4: Musclebound,Grant Morrison/Richard Case/Mike Dringenberg/Mark McKenna/Jamie Hewlett/Steve Yeowell/Rian Hughes,4.15,1401209998,9781401209995,eng,256,2322,77,8/30/2006,Vertigo
5599,Ethics and the Limits of Philosophy,Bernard Williams,4.06,067426858X,9780674268586,en-US,230,556,20,3/15/1986,Harvard University Press
20781,Aesop's Fables,Aesop/Ann McGovern,4.05,0590438808,9780590438808,eng,80,108,10,11/1/1963,Scholastic Paperbacks
35288,All Over You (Secret Lives of Daytime Divas  #2),Sarah Mayberry,3.73,0373793243,9780373793242,eng,251,521,35,3/27/2007,Harlequin Blaze
29922,Gone for Soldiers: A Novel of the Mexican War,Jeff Shaara,4.14,0345427513,9780345427519,eng,424,191,18,7/3/2001,Ballantine Books
21543,The Poet (Jack McEvoy  #1; Harry Bosch Universe  #5),Michael Connelly/Buck Schirner,4.2,1423323238,9781423323235,eng,15,115,33,6/25/2006,Brilliance Audio
44735,The Elements of Typographic Style,Robert Bringhurst,4.24,0881792063,9780881792065,en-US,352,7564,206,9/27/2004,Hartley & Marks Publishers
28935,Intuition,Allegra Goodman,3.32,0385336101,9780385336109,eng,385,3248,590,3/13/2007,Dial Press
22724,¿Quién te lo ha contado?,Marian Keyes,3.79,8497936736,9788497936736,spa,648,169,9,12/30/2005,DeBolsillo
31891,A Short History of Modern Philosophy (Routledge Classics),Roger Scruton,3.8,0415267633,9780415267632,eng,328,348,23,11/11/2001,Routledge
37032,The Risk of Darkness (Simon Serrailler  #3),Susan Hill,3.95,0701179791,9780701179793,eng,320,3060,264,7/1/2006,Chatto & Windus
40718,The Sorrows of Empire: Militarism  Secrecy  and the End of the Republic,Chalmers Johnson/Shara Kay,4.13,0805077979,9780805077971,en-US,389,1332,75,4/1/2005,St. Martins Press-3PL
17582,The Norton Anthology of Short Fiction,Richard Bausch,4.18,0393926117,9780393926118,en-US,1776,663,15,1/5/2006,W. W. Norton & Company
45490,His Dark Materials Omnibus (His Dark Materials),Philip Pullman,4.26,0375947221,9780375947223,eng,944,70,9,4/10/2007,Knopf Books for Young Readers
2802,E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,4.09,0425181642,9780425181645,eng,337,6368,321,10/1/2000,Berkley Trade
41602,The Non-Designer's Web Book,Robin P. Williams/John Tollett,3.66,0321303377,9780321303370,en-US,335,212,19,9/26/2005,Peachpit Press
31076,The New Knighthood: A History of the Order of the Temple,Malcolm Barber,3.84,0521558727,9780521558723,eng,441,126,7,9/29/1995,Cambridge University Press
39305,Minion (Vampire Huntress  #1),L.A. Banks,3.44,0312987013,9780312987015,eng,286,5531,493,5/4/2004,St. Martin's Paperback
3290,Eva Luna,Isabel Allende/Margaret Sayers Peden,3.97,0553383825,9780553383829,eng,320,430,23,8/30/2005,Dial Press
40941,The Scientists: A History of Science Told Through the Lives of Its Greatest Inventors,John Gribbin,4.08,0812967887,9780812967883,eng,672,892,59,8/10/2004,Random House Trade Paperbacks
24807,The Areas of My Expertise: An Almanac of Complete World Knowledge Compiled with Instructive Annotation and Arranged in Useful Order,John Hodgman,3.82,1594482225,9781594482229,eng,255,12002,741,9/5/2006,Penguin Books
1427,The Zahir,Paulo Coelho/Margaret Jull Costa,3.57,0060832819,9780060832810,eng,336,58917,2575,7/3/2006,HarperOne
7779,Horton Hears a Who!,Dr. Seuss,4.18,0679800034,9780679800033,eng,64,89920,1207,10/10/1990,Random House Books for Young Readers
45041,Mansfield Park,Jane Austen,3.86,0755331478,9780755331475,eng,454,142,18,5/15/2006,Headline
34296,The Builders,Maeve Binchy,3.97,1902602684,9781902602684,eng,87,664,82,11/1/2006,New Island Books
44208,The Frog King,Frank McConnell,3.6,0802757480,9780802757487,eng,226,10,1,7/1/1990,Walker & Company
11765,Americana,Don DeLillo,3.43,2868698220,9782868698223,eng,454,3683,238,8/10/1993,Actes Sud
23827,The Bishop's Boys: A Life of Wilbur and Orville Wright,Tom D. Crouch,4.17,039330695X,9780393306958,eng,608,143,28,4/17/2003,W. W. Norton  Company
13521,Son of a Witch (The Wicked Years  #2),Gregory Maguire/Douglas Smith/Jelena Bojić,3.47,0060747226,9780060747220,eng,352,52323,3023,9/26/2006,William Morrow Paperbacks
7053,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency #6),Alexander McCall Smith,4.08,0375422714,9780375422713,eng,233,22026,912,4/19/2005,Pantheon
14535,El Perfume: Historia De Un Asesino,Patrick Süskind,4.02,8432216887,9788432216886,spa,312,17,1,2/19/2018,Planeta Publishing
41699,Polar Shift (NUMA Files  #6),Clive Cussler/Paul Kemprecos,3.91,0141017724,9780141017723,eng,504,7121,185,8/30/2005,Putnam
15464,Faun & Games (Xanth #21),Piers Anthony,3.76,0812555112,9780812555110,eng,352,4039,38,10/15/1997,Tor Fantasy
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press
10148,The Complete Sherlock Holmes  Volume II,Arthur Conan Doyle/Kyle Freeman,4.47,1593080409,9781593080402,eng,709,874,57,10/1/2003,Barnes  Noble Classics
33418,Parallel Worlds: A Journey through Creation  Higher Dimensions  and the Future of the Cosmos,Michio Kaku,4.18,1400033721,9781400033720,eng,361,15096,452,2/14/2006,Anchor
23563,"Ebert's ""Bigger"" Little Movie Glossary",Roger Ebert/Ray Ebert,3.87,0836282892,9780836282894,en-US,228,82,9,12/3/2005,Andrews McMeel Publishing
9594,Timequake,Kurt Vonnegut Jr.,3.72,0099267543,9780099267546,eng,219,23527,822,8/6/1998,Vintage Classics
43893,Naked Empire (Sword of Truth  #8),Terry Goodkind,3.81,0765344300,9780765344304,eng,736,44561,556,6/1/2004,Tor Books
2619,Great Expectations,Charles Dickens/David Trotter/Charlotte Mitchell,3.77,0141439564,9780141439563,eng,512,14228,668,12/31/2002,Penguin Books
8840,Saint-Exupéry,Stacy Schiff/Antoine de Saint-Exupéry,4.02,0805079130,9780805079135,eng,560,208,27,2/7/2006,Holt Paperbacks
19088,The Politics and The Constitution of Athens,Aristotle/Stephen Everson,3.98,0521484006,9780521484008,eng,327,407,12,10/13/1996,Cambridge University Press
23194,My Story as told by Water: Confessions  Druidic Rants  Reflections  Bird-watchings  Fish-stalkings  Visions  Songs and Prayers Refracting Light  from Living Rivers  in the Age of the Industrial Dark,David James Duncan,4.1,1578050499,9781578050499,eng,304,679,53,7/17/2001,Sierra Club Books
18736,Going to Pieces Without Falling Apart: A Buddhist Perspective on Wholeness,Mark Epstein/Charlie Conrad,3.9,0767902351,9780767902359,eng,200,4473,228,6/1/1999,Harmony
24215,Alice's Adventures in Wonderland: A Pop-Up Adaptation,Robert Sabuda/Lewis Carroll,4.33,0689847432,9780689847431,en-US,12,21875,111,10/1/2003,Little Simon
24062,The Deep (Dive Trilogy),Gordon Korman,3.78,0613674839,9780613674836,eng,148,0,0,7/1/2003,Turtleback Books
27626,Women  Cats: The History of a Love Affair,Michelle Lovric/Lisa Pentreath,4.23,1556525133,9781556525131,eng,66,13,1,9/1/2003,Chicago Review Press
41457,Hitty  Her First Hundred Years,Rachel Field/Dorothy P. Lathrop,3.86,0689822847,9780689822841,eng,256,7097,292,9/1/1998,Aladdin
12623,Perilous Power: The Middle East & US Foreign Policy,Noam Chomsky/Gilbert Achcar/Stephan R. Shalom,4.05,1594513120,9781594513121,en-GB,242,270,16,9/15/2006,Routledge
25355,Art Out of Time: Unknown Comics Visionaries  1900-1969,Dan Nadel,4.05,0810958384,9780810958388,eng,320,226,24,6/1/2006,Abrams
28991,Bad Haircut: Stories of the Seventies,Tom Perrotta,3.7,042515954X,9780425159545,eng,240,1546,110,4/1/1997,Berkley Trade
23814,King Solomon's Mines (Allan Quatermain  #1),H. Rider Haggard,3.8,0812966295,9780812966299,eng,264,34623,1168,12/10/2002,Modern Library
29907,Republic,Plato/Benjamin Jowett/Elizabeth Watson Scharffenberger,3.94,1593080972,9781593080976,eng,496,392,33,8/1/2005,Barnes  Noble Classics
14684,The Charterhouse of Parma,Stendhal/Roger Pearson/Margaret Mauldon,3.82,0192839578,9780192839572,eng,560,51,8,12/9/1999,Oxford University Press
15584,Cosmos,Witold Gombrowicz/Danuta Borchardt,4.03,0300108486,9780300108484,eng,208,1896,129,10/10/2005,Yale University Press
3438,The Curious Incident of the Dog In the Night-time,Mark Haddon,3.88,0099456761,9780099456766,eng,268,6124,754,4/1/2004,Red Fox
22061,Oasis (On the Road to Perdition  #1),Max Allan Collins/Steve Lieber/Josef Rubinstein/Rob Leigh/José Luis García-López/Bob Lappan,3.55,1401200680,9781401200688,eng,96,76,5,5/1/2003,DC Comics
5821,Casino Royale,Ian Fleming,3.73,0141187581,9780141187587,eng,181,371,43,6/3/2004,Penguin Books  Limited (UK)
29160,Brothers in Arms (Dragonlance: Raistlin Chronicles  #2),Margaret Weis/Don Perrin,4.05,0786914297,9780786914296,eng,476,6387,66,8/1/1999,Wizards of the Coast
18240,War and Peace,Leo Tolstoy,4.11,3895086908,9783895086908,en-US,1500,126,9,5/9/1999,Konemann
27719,The Night of Wishes,Michael Ende/Heike Schwarzbauer/Rick Takvorian/Regina Kehn/Regina Jehn,4.12,0374455031,9780374455033,eng,216,3014,56,4/17/1995,Farrar  Straus and Giroux (BYR)
8930,Jamie's Italy,Jamie Oliver/David Loftus/Chris Terry,4.01,1401301959,9781401301958,eng,320,7653,90,11/14/2006,Hachette Books
27769,L'Étranger,Albert Camus,3.98,207030602X,9782070306022,fre,207,688,50,3/1/2005,Editions Gallimard
41092,The Shores of Another Sea (Classics of Modern Science Fiction 3),Chad Oliver/George Zebrowski/Isaac Asimov,3.55,0517551861,9780517551868,eng,214,37,6,7/25/1984,Random House Value Publishing
13104,The Celestine Prophecy: A Pocket Guide to the Nine Insights,James Redfield,3.87,0446912069,9780446912068,eng,68,1256,100,12/2/2005,Warner Books (NY)
5309,The Life and Times of Scrooge McDuck,Don Rosa,4.67,0911903968,9780911903966,eng,266,2467,149,6/1/2005,Gemstone Publishing
28913,Never Go Back,Robert Goddard,3.71,0552152110,9780552152112,eng,464,1221,85,10/23/2006,Corgi
17837,Мастер и Маргарита,Mikhail Bulgakov/Михаил Булгаков,4.3,5040019521,9785040019526,rus,640,10,1,9/28/2004,Эксмо
27851,Data Structures and Algorithm Analysis in C,Mark Allen Weiss,3.85,0201498405,9780201498400,eng,528,120,11,9/19/1996,Pearson
37262,Dark Horse Deluxe Journal: Craig Thompson's Angels and Demons,Craig Thompson,3.52,1593070691,9781593070694,eng,128,46,1,12/30/2003,Dark Horse
1823,Them: Adventures with Extremists,Jon Ronson,3.95,0743233212,9780743233217,eng,336,11990,831,1/7/2003,Simon  Schuster
11432,Reunion (Redemption  #5),Karen Kingsbury/Gary Smalley,4.5,0842386882,9780842386883,en-US,400,12509,271,7/1/2004,Tyndale House Publishers
14605,Edie: Girl on Fire,David Weisman/Melissa Painter,4.22,0811855260,9780811855266,eng,192,727,19,11/2/2006,Chronicle Books
25103,World's End (The Sandman  #8),Neil Gaiman/Mike Allred/Gary Amaro/Mark Buckingham/David Giordano/Tony Harris/Steve Leialoha/Vince Locke/Shea Anton Pensa/Alec Stevens/Bryan Talbot/John Watkiss/Todd Klein/Michael Zulli/Stephen King,4.47,1563891700,9781563891700,eng,160,36629,675,7/16/1999,Vertigo
35125,Alien,Alan Dean Foster,4.09,2290011150,9782290011157,eng,270,15901,309,3/29/1979,Grand Central Publishing
6678,Going Solo (Roald Dahl's Autobiography  #2),Roald Dahl/Quentin Blake,4.08,0141311428,9780141311425,eng,209,17327,992,4/5/2001,Puffin
40790,Thirteen Moons on Turtle's Back,Joseph Bruchac/Jonathan London/Thomas Locker,4.08,0698115848,9780698115842,en-US,32,318,40,8/25/1997,Puffin Books
33956,The Spook's Apprentice (The Last Apprentice / Wardstone Chronicles  #1),Joseph Delaney,3.99,0099456451,9780099456452,eng,325,2956,242,6/30/2005,Red Fox
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,1585424331,9781585424337,eng,320,88897,2334,9/1/2005,Tarcherperigee
19084,Aristotle's Ethics (SparkNotes Literature Guides),SparkNotes,3.0,158663822X,9781586638221,eng,80,2,0,6/13/2003,SparkNotes
25794,Birthday (Ring  #4),Kōji Suzuki/Glynne Walley,3.67,1932234292,9781932234299,eng,216,866,37,12/12/2006,Vertical
