budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",,56491,"[{""id"": 526, ""name"": ""rebel""}, {""id"": 840, ""name"": ""usa president""}, {""id"": 1562, ""name"": ""hostage""}, {""id"": 3800, ""name"": ""airplane""}]",en,In Her Line of Fire,"When the Vice President's plane goes down near a remote Pacific island, he is kidnapped by rebel forces and held for ransom. It is up to his female Secret Service agent and a press secretary to infiltrate the camp and save him.",0.429587,[],"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-04-21,0,88.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Behind Enemy Lines No Man Can Stop Her. Only One Woman Can Touch Her.,In Her Line of Fire,3.3,9
7000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",http://beyondthelightsmovie.tumblr.com/,241771,"[{""id"": 2276, ""name"": ""talent""}, {""id"": 3836, ""name"": ""success""}, {""id"": 4048, ""name"": ""musician""}, {""id"": 187056, ""name"": ""woman director""}]",en,Beyond the Lights,"Noni Jean is a hot new rising star. But not all is what it seems, and the pressure causes Noni to nearly fall apart - until she meets Kaz Nicol, a promising young cop and aspiring politician who's been assigned to her detail. Can Kaz's love give Noni the courage to find her own voice and break free to become the artist she was meant to be?",8.079046,"[{""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Homegrown Pictures"", ""id"": 8840}, {""name"": ""Black Entertainment Television (BET)"", ""id"": 42321}, {""name"": ""Relativity Sports"", ""id"": 86115}, {""name"": ""Undisputed Cinema"", ""id"": 86116}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-09-10,14618727,116.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Open your heart, find your voice.",Beyond the Lights,7.0,139
4000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",,987,"[{""id"": 520, ""name"": ""chicago""}, {""id"": 736, ""name"": ""journalist""}, {""id"": 918, ""name"": ""newspaper""}, {""id"": 1459, ""name"": ""marriage proposal""}, {""id"": 4602, ""name"": ""stress""}, {""id"": 4604, ""name"": ""father-in-law""}, {""id"": 155744, ""name"": ""newspaper man""}]",en,The Front Page,A journalist suffering from burn-out wants to finally say goodbye to his office – but his boss doesn’t like the idea one bit.,4.117968,"[{""name"": ""Universal Studios"", ""id"": 13}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1974-12-01,0,105.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,The Front Page,6.9,68
1300000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",,103,"[{""id"": 422, ""name"": ""vietnam veteran""}, {""id"": 444, ""name"": ""taxi""}, {""id"": 1523, ""name"": ""obsession""}, {""id"": 2231, ""name"": ""drug dealer""}, {""id"": 4225, ""name"": ""night shift""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 7368, ""name"": ""alienation""}, {""id"": 9622, ""name"": ""misanthrope""}, {""id"": 11325, ""name"": ""shot to death""}, {""id"": 33625, ""name"": ""illegal prostitution""}, {""id"": 167104, ""name"": ""loner""}]",en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",58.845025,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Italo/Judeo Productions"", ""id"": 46059}, {""name"": ""Bill/Phillips"", ""id"": 46060}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1976-02-07,28262574,114.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,8.0,2535
117000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",http://www.knightanddaymovie.com,37834,"[{""id"": 470, ""name"": ""spy""}, {""id"": 822, ""name"": ""airport""}, {""id"": 1420, ""name"": ""gas station""}, {""id"": 2101, ""name"": ""garage""}, {""id"": 3203, ""name"": ""pilot""}, {""id"": 3713, ""name"": ""chase""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 6399, ""name"": ""rope""}, {""id"": 9778, ""name"": ""exploding building""}, {""id"": 15483, ""name"": ""car chase""}, {""id"": 33352, ""name"": ""police car""}, {""id"": 33353, ""name"": ""boy genius""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Knight and Day,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",44.906918,"[{""name"": ""Tree Line Films"", ""id"": 84}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Pink Machine"", ""id"": 21845}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-06-15,261930431,109.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Every Hit Man Deserves a Second Shot!,Knight and Day,5.9,1547
100000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]",http://www.end-of-days.com/,9946,"[{""id"": 186, ""name"": ""christianity""}, {""id"": 572, ""name"": ""sex""}, {""id"": 613, ""name"": ""new year's eve""}, {""id"": 1499, ""name"": ""pastor""}, {""id"": 2483, ""name"": ""nudity""}, {""id"": 2870, ""name"": ""mephisto""}, {""id"": 3030, ""name"": ""nightmare""}, {""id"": 3036, ""name"": ""bible""}, {""id"": 5545, ""name"": ""satanist""}, {""id"": 6150, ""name"": ""faith""}, {""id"": 8440, ""name"": ""ex-cop""}, {""id"": 8685, ""name"": ""anti-christ""}, {""id"": 8686, ""name"": ""millenium""}, {""id"": 8778, ""name"": ""atheist""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10093, ""name"": ""priest""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 13008, ""name"": ""train""}, {""id"": 14512, ""name"": ""new york city""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 14765, ""name"": ""church""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 14999, ""name"": ""devil""}, {""id"": 172382, ""name"": ""woman in jeopardy""}, {""id"": 181375, ""name"": ""satanic""}, {""id"": 187844, ""name"": ""flashback""}, {""id"": 199978, ""name"": ""stigmata""}]",en,End of Days,"On December 28th, 1999, the citizens of New York City are getting ready for the turn of the millennium. However, the Devil decides to crash the party by coming to the city, inhabiting a man's body, and searching for his chosen bride, a 20-year-old woman named Christine York. The world will end, and the only hope lies within an atheist called Jericho Cane.",20.652943,"[{""name"": ""Beacon Communications"", ""id"": 919}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-11-24,211989043,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}]",Released,Prepare for the end.,End of Days,5.5,482
7500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",,2577,"[{""id"": 2350, ""name"": ""seattle""}, {""id"": 2682, ""name"": ""shanghai""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3973, ""name"": ""insurance salesman""}, {""id"": 4565, ""name"": ""dystopia""}]",en,Code 46,"A futuristic 'Brief Encounter', a love story in which the romance is doomed by genetic incompatibility.",8.859657,"[{""name"": ""BBC Films"", ""id"": 288}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2003-09-02,0,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,How do you solve a crime when the last thing you want to know is the truth?,Code 46,6.2,116
0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,18828,"[{""id"": 534, ""name"": ""mexico""}, {""id"": 591, ""name"": ""cia""}, {""id"": 1812, ""name"": ""fbi""}, {""id"": 13008, ""name"": ""train""}]",en,Double Take,"The governor of a Mexican state is assassinated. Soon after, junior executive Daryl Chase's life turns upside down: after he flags a huge transfer of funds from a Mexican account as probably illegal, he's attacked in his apartment, rescued by a CIA agent, finds his secretary shot dead, and witnesses two cops get killed. He calls the CIA guy who tells him to grab the next train to Mexico. Leaving M",1.903405,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-01-12,0,88.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One big shot. One big mouth. The switch is on.,Double Take,5.5,24
16000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,33196,"[{""id"": 720, ""name"": ""helicopter""}, {""id"": 966, ""name"": ""beach""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 2581, ""name"": ""giant wave""}, {""id"": 6941, ""name"": ""tsunami""}, {""id"": 10235, ""name"": ""family relationships""}, {""id"": 10586, ""name"": ""korea""}, {""id"": 10617, ""name"": ""disaster""}, {""id"": 11732, ""name"": ""cigarette smoking""}, {""id"": 14708, ""name"": ""tears""}, {""id"": 33479, ""name"": ""single father""}, {""id"": 156924, ""name"": ""tearjerker""}, {""id"": 173325, ""name"": ""stuck in elevator""}, {""id"": 181012, ""name"": ""tidal wave""}, {""id"": 189411, ""name"": ""disaster film""}]",ko,해운대,"Man-sik and Yeon-hee, are unsure as to whether they can overcome past wounds and continue being a couple. Dr. Kim, who cautions against a possible mega-tsunami at Haeundae, collapses in agony springing from an unexpected turn-up of his daughter and divorced wife. Hyoung-sik, after rescuing a woman from Seoul, rides out a ferocious storm to gladden her heart. A tsunami which destroys Haeundae symbolizes the establishment of a typical axis called provocation of conflicts, and later the inner spaces of the couples without anything left behind after all conflicts have ended",4.628525,"[{""name"": ""Polygon Entertainment"", ""id"": 5716}, {""name"": ""CJ Entertainment"", ""id"": 7036}, {""name"": ""Doosabu Film"", ""id"": 12621}]","[{""iso_3166_1"": ""KR"", ""name"": ""South Korea""}]",2009-06-06,11301649,120.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}]",Released,,Tidal Wave,6.5,48
22000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,1599,"[{""id"": 572, ""name"": ""sex""}, {""id"": 703, ""name"": ""detective""}, {""id"": 931, ""name"": ""jealousy""}, {""id"": 3923, ""name"": ""humor""}, {""id"": 4108, ""name"": ""protest""}, {""id"": 4183, ""name"": ""wife""}, {""id"": 6562, ""name"": ""celebrity""}, {""id"": 9823, ""name"": ""rivalry""}, {""id"": 10183, ""name"": ""independent film""}, {""id"": 11001, ""name"": ""religion""}, {""id"": 15325, ""name"": ""universe""}, {""id"": 18047, ""name"": ""anger""}, {""id"": 18330, ""name"": ""nature""}, {""id"": 162271, ""name"": ""husband""}, {""id"": 181324, ""name"": ""existentialism""}, {""id"": 197526, ""name"": ""enviroment""}, {""id"": 202692, ""name"": ""issues""}]",en,I Heart Huckabees,"A husband-and-wife team play detective, but not in the traditional sense. Instead, the happy duo helps others solve their existential issues, the kind that keep you up at night, wondering what it all means.",14.925633,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Qwerty Films"", ""id"": 892}, {""name"": ""N1 European Film Produktions GmbH & Co. KG"", ""id"": 8874}, {""name"": ""Kanzeon"", ""id"": 23488}, {""name"": ""Huckabee's"", ""id"": 23489}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-09-10,0,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,An existential comedy,I Heart Huckabees,6.2,239
2500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,468,"[{""id"": 30, ""name"": ""individual""}, {""id"": 237, ""name"": ""gay""}, {""id"": 494, ""name"": ""father son relationship""}, {""id"": 588, ""name"": ""rome""}, {""id"": 642, ""name"": ""robbery""}, {""id"": 1454, ""name"": ""treasure""}, {""id"": 1896, ""name"": ""portland""}, {""id"": 2150, ""name"": ""cocaine""}, {""id"": 2200, ""name"": ""generations confilct""}, {""id"": 2347, ""name"": ""idaho""}, {""id"": 2348, ""name"": ""hustler""}, {""id"": 2349, ""name"": ""german""}, {""id"": 2350, ""name"": ""seattle""}, {""id"": 2352, ""name"": ""narkolepsy""}, {""id"": 2353, ""name"": ""pink bathrobe""}, {""id"": 13059, ""name"": ""prostitution""}, {""id"": 15135, ""name"": ""gay sex""}, {""id"": 33841, ""name"": ""incest""}, {""id"": 158718, ""name"": ""lgbt""}, {""id"": 167043, ""name"": ""road movie""}]",en,My Own Private Idaho,"In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters (River Phoenix) is a gay hustler afflicted with narcolepsy. Scott Favor (Keanu Reeves) is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant.",10.363642,"[{""name"": ""Fine Line Features"", ""id"": 8}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1991-10-17,0,104.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"It's not where you go, it's how you get there.",My Own Private Idaho,7.1,212
